Model,R2 Score,MAE,RMSE
Lineer Regression,0.9999966770968399,29.39875714747921,50.19027988292684
Ridge Regression,0.9999966293927883,29.629914309838146,50.54926531919542
Lasso Regression,0.9999941271910873,39.256729591583806,66.72425143155424
ElasticNet Regression,0.9999731925177247,89.12145085032131,142.55707926666844
